,flags,utterance,category,intent,response
2930,BLQ,"['want', 'delete', 'user', 'account']",ACCOUNT,delete_account,response for delete_account
2931,BILC,"['want', 'account', 'cancel']",ACCOUNT,delete_account,response for delete_account
2932,BILQC,"['dont', 'want', 'profile', 'close']",ACCOUNT,delete_account,response for delete_account
2933,BILQC,"['changed', 'mind', 'close', 'account']",ACCOUNT,delete_account,response for delete_account
2934,BIPLWC,"['want', 'fucking', 'account', 'cancel', 'please']",ACCOUNT,delete_account,response for delete_account
2935,BIPLQD,"['u', 'ask', 'agent', 'could', 'cancel', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
2936,BILQ,"['delete', 'profile']",ACCOUNT,delete_account,response for delete_account
2937,BILC,"['want', 'profile', 'delete']",ACCOUNT,delete_account,response for delete_account
2938,BILQD,"['u', 'ask', 'agent', 'remove', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
2939,BILQ,"['delete', 'user', 'account']",ACCOUNT,delete_account,response for delete_account
2940,BILQC,"['changed', 'mind', 'remove', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
2941,BILQCZ,"['ichanged', 'mny', 'mind', 'remove', 'user', 'account']",ACCOUNT,delete_account,response for delete_account
2942,BSL,"['need', 'help', 'closing', 'user', 'account']",ACCOUNT,delete_account,response for delete_account
2943,BIPLQC,"['wanna', 'close', 'online', 'account', 'could']",ACCOUNT,delete_account,response for delete_account
2944,BL,"['cancel', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
2945,BSLC,"['changed', 'mind', 'need', 'help', 'removing', 'account']",ACCOUNT,delete_account,response for delete_account
2946,BIPLDWZ,"['please', 'could', 'ask', 'agent', 'delete', 'fukcing', 'profile']",ACCOUNT,delete_account,response for delete_account
2947,BIQ,"['delete', 'account']",ACCOUNT,delete_account,response for delete_account
2948,BSL,"['need', 'help', 'canceling', 'profile']",ACCOUNT,delete_account,response for delete_account
2949,BLQC,"['changed', 'mind', 'remove', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
2950,BILC,"['want', 'user', 'account', 'cancel']",ACCOUNT,delete_account,response for delete_account
2951,BILC,"['want', 'delete', 'user', 'account']",ACCOUNT,delete_account,response for delete_account
2952,BIZ,"['delete', 'cacount']",ACCOUNT,delete_account,response for delete_account
2953,BSLQC,"['changed', 'mind', 'need', 'help', 'canceling', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
2954,BILC,"['want', 'remove', 'account']",ACCOUNT,delete_account,response for delete_account
2955,BPLD,"['ask', 'agent', 'could', 'close', 'profile', 'please']",ACCOUNT,delete_account,response for delete_account
2956,BILQC,"['changed', 'mind', 'cancel', 'user', 'account']",ACCOUNT,delete_account,response for delete_account
2957,BCZ,"['changed', 'mind', 'help', 'delete', 'myaccount']",ACCOUNT,delete_account,response for delete_account
2958,BIPLDZ,"['please', 'ask', 'agent', 'close', 'usder', 'account']",ACCOUNT,delete_account,response for delete_account
2959,BILC,"['changed', 'mind', 'close', 'user', 'account']",ACCOUNT,delete_account,response for delete_account
2960,BIPQDW,"['could', 'u', 'ask', 'agent', 'delete', 'fucking', 'account']",ACCOUNT,delete_account,response for delete_account
2961,BPLD,"['please', 'ask', 'agent', 'remove', 'user', 'account']",ACCOUNT,delete_account,response for delete_account
2962,B,"['delete', 'account']",ACCOUNT,delete_account,response for delete_account
2963,BILC,"['want', 'close', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
2964,BILQC,"['want', 'close', 'user', 'account']",ACCOUNT,delete_account,response for delete_account
2965,BIL,"['remove', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
2966,BILQC,"['want', 'close', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
2967,BILC,"['changed', 'mind', 'cancel', 'user', 'account']",ACCOUNT,delete_account,response for delete_account
2968,BIC,"['want', 'account', 'delete']",ACCOUNT,delete_account,response for delete_account
2969,BLQC,"['changed', 'mind', 'help', 'close', 'profile']",ACCOUNT,delete_account,response for delete_account
2970,BSL,"['need', 'help', 'closing', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
2971,BIL,"['close', 'account']",ACCOUNT,delete_account,response for delete_account
2972,BLZ,"['remove', 'profile']",ACCOUNT,delete_account,response for delete_account
2973,BLQC,"['changed', 'mind', 'close', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
2974,BILQC,"['changed', 'mind', 'delete', 'profile']",ACCOUNT,delete_account,response for delete_account
2975,BILC,"['changed', 'mind', 'cancel', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
2976,BIL,"['cancel', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
2977,BLQC,"['changed', 'mind', 'help', 'close', 'account']",ACCOUNT,delete_account,response for delete_account
2978,BSLQC,"['changed', 'mind', 'need', 'help', 'deleting', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
2979,BILC,"['want', 'profile', 'close']",ACCOUNT,delete_account,response for delete_account
2980,BLQC,"['changed', 'mind', 'remove', 'user', 'account']",ACCOUNT,delete_account,response for delete_account
2981,BILQCZ,"['changed', 'mind', 'whatshould', 'cancel', 'profile']",ACCOUNT,delete_account,response for delete_account
2982,BSLQCZ,"['changed', 'mind', 'need', 'help', 'canceling', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
2983,BILQC,"['changed', 'mind', 'remove', 'profile']",ACCOUNT,delete_account,response for delete_account
2984,BILCZ,"['want', 'user', 'account', 'ddo', 'remove']",ACCOUNT,delete_account,response for delete_account
2985,BIPLQDZ,"['could', 'u', 'ask', 'agent', 'could', 'cancel', 'online', 'account', 'pleasd']",ACCOUNT,delete_account,response for delete_account
2986,BSLC,"['want', 'profile', 'need', 'help', 'closing']",ACCOUNT,delete_account,response for delete_account
2987,BILQC,"['changed', 'mind', 'delete', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
2988,BL,"['cancel', 'profile']",ACCOUNT,delete_account,response for delete_account
2989,BILQ,"['cancel', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
2990,BLQD,"['ask', 'agent', 'remove', 'user', 'account']",ACCOUNT,delete_account,response for delete_account
2991,BLC,"['want', 'profile', 'close']",ACCOUNT,delete_account,response for delete_account
2992,BILQC,"['changed', 'mind', 'close', 'profile']",ACCOUNT,delete_account,response for delete_account
2993,BILC,"['want', 'account', 'remove']",ACCOUNT,delete_account,response for delete_account
2994,BPLD,"['please', 'ask', 'agent', 'close', 'account']",ACCOUNT,delete_account,response for delete_account
2995,BL,"['help', 'cancel', 'profile']",ACCOUNT,delete_account,response for delete_account
2996,BILCZ,"['want', 'profile', 'closeit']",ACCOUNT,delete_account,response for delete_account
2997,BILQC,"['wanna', 'close', 'profile']",ACCOUNT,delete_account,response for delete_account
2998,BLCZ,"['want', 'user', 'account', 'cancelit']",ACCOUNT,delete_account,response for delete_account
2999,BIL,"['remove', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
3000,BIPLD,"['could', 'ask', 'agent', 'cancel', 'account', 'please']",ACCOUNT,delete_account,response for delete_account
3001,BILQD,"['u', 'ask', 'agent', 'cancel', 'profile']",ACCOUNT,delete_account,response for delete_account
3002,B,"['want', 'delete', 'account']",ACCOUNT,delete_account,response for delete_account
3003,BL,"['help', 'remove', 'account']",ACCOUNT,delete_account,response for delete_account
3004,BILC,"['want', 'account', 'close']",ACCOUNT,delete_account,response for delete_account
3005,BILQC,"['dont', 'want', 'user', 'account', 'delete']",ACCOUNT,delete_account,response for delete_account
3006,BSLQC,"['changed', 'mind', 'need', 'help', 'closing', 'profile']",ACCOUNT,delete_account,response for delete_account
3007,BLC,"['want', 'profile', 'want', 'cancel']",ACCOUNT,delete_account,response for delete_account
3008,BIQC,"['changed', 'mind', 'delete', 'account']",ACCOUNT,delete_account,response for delete_account
3009,BILQ,"['remove', 'user', 'account']",ACCOUNT,delete_account,response for delete_account
3010,BILC,"['want', 'profile', 'close']",ACCOUNT,delete_account,response for delete_account
3011,BLQD,"['ask', 'agent', 'close', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
3012,BILQD,"['u', 'ask', 'agent', 'remove', 'profile']",ACCOUNT,delete_account,response for delete_account
3013,BL,"['remove', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
3014,BILC,"['want', 'online', 'account', 'close']",ACCOUNT,delete_account,response for delete_account
3015,BLQC,"['changed', 'mind', 'help', 'cancel', 'profile']",ACCOUNT,delete_account,response for delete_account
3016,BL,"['close', 'account']",ACCOUNT,delete_account,response for delete_account
3017,BILQC,"['dont', 'want', 'user', 'account', 'u', 'close']",ACCOUNT,delete_account,response for delete_account
3018,BLCZ,"[""don'twant"", 'profile', 'help', 'cancel']",ACCOUNT,delete_account,response for delete_account
3019,BSLC,"['want', 'online', 'account', 'need', 'help', 'removing']",ACCOUNT,delete_account,response for delete_account
3020,BLQ,"['want', 'close', 'user', 'account']",ACCOUNT,delete_account,response for delete_account
3021,BILQ,"['close', 'account']",ACCOUNT,delete_account,response for delete_account
3022,BILQ,"['close', 'profile']",ACCOUNT,delete_account,response for delete_account
3023,BILQZ,"['cancel', 'profie']",ACCOUNT,delete_account,response for delete_account
3024,BILC,"['want', 'online', 'account', 'remove']",ACCOUNT,delete_account,response for delete_account
3025,BILQC,"['changed', 'mind', 'delete', 'profile']",ACCOUNT,delete_account,response for delete_account
3026,BL,"['help', 'delete', 'user', 'account']",ACCOUNT,delete_account,response for delete_account
3027,B,"['want', 'account']",ACCOUNT,delete_account,response for delete_account
3028,BILC,"['want', 'user', 'account', 'delete']",ACCOUNT,delete_account,response for delete_account
3029,BLC,"['changed', 'mind', 'cancel', 'user', 'account']",ACCOUNT,delete_account,response for delete_account
3030,BILQC,"['changed', 'mind', 'delete', 'profile']",ACCOUNT,delete_account,response for delete_account
3031,BILC,"['want', 'online', 'account', 'cancel']",ACCOUNT,delete_account,response for delete_account
3032,BILQZ,"['rremove', 'profile']",ACCOUNT,delete_account,response for delete_account
3033,BILC,"['changed', 'mind', 'cancel', 'user', 'account']",ACCOUNT,delete_account,response for delete_account
3034,BILQ,"['close', 'online', 'account']",ACCOUNT,delete_account,response for delete_account
3035,BIL,"['modify', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3036,BILQD,"['u', 'ask', 'agent', 'make', 'change', 'profile']",ACCOUNT,edit_account,response for edit_account
3037,BLQ,"['want', 'update', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3038,BIPLD,"['could', 'ask', 'agent', 'modify', 'profile', 'please']",ACCOUNT,edit_account,response for edit_account
3039,B,"['edit', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3040,B,"['want', 'edit', 'profile']",ACCOUNT,edit_account,response for edit_account
3041,BL,"['update', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3042,BLQ,"['want', 'make', 'change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3043,B,"['help', 'edit', 'profile']",ACCOUNT,edit_account,response for edit_account
3044,BILQ,"['update', 'profile']",ACCOUNT,edit_account,response for edit_account
3045,BIQ,"['edit', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3046,BILQCZ,"['want', 'update', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3047,BIQCZ,"['want', 'edit', 'information', 'mny', 'profile']",ACCOUNT,edit_account,response for edit_account
3048,BILD,"['ask', 'agent', 'update', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3049,BILQ,"['make', 'change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3050,BS,"['need', 'help', 'editing', 'profile']",ACCOUNT,edit_account,response for edit_account
3051,BL,"['update', 'profile']",ACCOUNT,edit_account,response for edit_account
3052,BILQC,"['want', 'modify', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3053,BILQZ,"['cani', 'change', 'profile']",ACCOUNT,edit_account,response for edit_account
3054,BILQC,"['want', 'make', 'change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3055,BSLZ,"['need', 'ehlp', 'modifying', 'profile']",ACCOUNT,edit_account,response for edit_account
3056,BD,"['ask', 'agent', 'edit', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3057,BILQDZ,"['u', 'ask', 'agent', 'modify', 'ther', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3058,BIL,"['modify', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3059,BL,"['want', 'update', 'profile']",ACCOUNT,edit_account,response for edit_account
3060,BL,"['help', 'change', 'profile']",ACCOUNT,edit_account,response for edit_account
3061,BLQ,"['want', 'modify', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3062,BILQ,"['make', 'change', 'profile']",ACCOUNT,edit_account,response for edit_account
3063,BL,"['help', 'update', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3064,BIPD,"['could', 'ask', 'agent', 'edit', 'information', 'profile', 'please']",ACCOUNT,edit_account,response for edit_account
3065,BL,"['help', 'change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3066,BILQ,"['update', 'profile']",ACCOUNT,edit_account,response for edit_account
3067,BLD,"['ask', 'agent', 'modify', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3068,B,"['want', 'edit', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3069,BIL,"['update', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3070,BLDZ,"['sak', 'agent', 'update', 'profile']",ACCOUNT,edit_account,response for edit_account
3071,BIPD,"['please', 'ask', 'agent', 'edit', 'profile']",ACCOUNT,edit_account,response for edit_account
3072,BLQ,"['wanna', 'make', 'change', 'profile']",ACCOUNT,edit_account,response for edit_account
3073,BILQ,"['change', 'profile']",ACCOUNT,edit_account,response for edit_account
3074,BILC,"['want', 'modify', 'profile']",ACCOUNT,edit_account,response for edit_account
3075,BL,"['modify', 'profile']",ACCOUNT,edit_account,response for edit_account
3076,BLZ,"['modify', 'information', 'proflie']",ACCOUNT,edit_account,response for edit_account
3077,BIL,"['update', 'profile']",ACCOUNT,edit_account,response for edit_account
3078,BIQ,"['edit', 'profile']",ACCOUNT,edit_account,response for edit_account
3079,BILQD,"['u', 'ask', 'agent', 'update', 'profile']",ACCOUNT,edit_account,response for edit_account
3080,BILQDZ,"['u', 'ask', 'agent', 'update', 'profile']",ACCOUNT,edit_account,response for edit_account
3081,BIQ,"['edit', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3082,BIPLDW,"['could', 'ask', 'agent', 'change', 'information', 'fucking', 'profile', 'please']",ACCOUNT,edit_account,response for edit_account
3083,BILQ,"['change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3084,BQD,"['ask', 'agent', 'edit', 'profile']",ACCOUNT,edit_account,response for edit_account
3085,BIQ,"['edit', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3086,BILC,"['want', 'change', 'profile']",ACCOUNT,edit_account,response for edit_account
3087,BSL,"['need', 'help', 'making', 'change', 'profile']",ACCOUNT,edit_account,response for edit_account
3088,BIL,"['make', 'change', 'profile']",ACCOUNT,edit_account,response for edit_account
3089,BIQ,"['edit', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3090,BL,"['help', 'modify', 'profile']",ACCOUNT,edit_account,response for edit_account
3091,BL,"['make', 'change', 'profile']",ACCOUNT,edit_account,response for edit_account
3092,BL,"['help', 'make', 'change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3093,BILQDW,"['u', 'ask', 'agent', 'modify', 'fucking', 'profile']",ACCOUNT,edit_account,response for edit_account
3094,BIPLQD,"['could', 'u', 'ask', 'agent', 'update', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3095,BSL,"['need', 'help', 'changing', 'profile']",ACCOUNT,edit_account,response for edit_account
3096,BL,"['help', 'modify', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3097,BL,"['change', 'profile']",ACCOUNT,edit_account,response for edit_account
3098,BILZ,"['modify', 'information', 'myprofile']",ACCOUNT,edit_account,response for edit_account
3099,BL,"['help', 'update', 'profile']",ACCOUNT,edit_account,response for edit_account
3100,BIL,"['modify', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3101,BPDW,"['ask', 'agent', 'edit', 'fucking', 'profile', 'please']",ACCOUNT,edit_account,response for edit_account
3102,BPLW,"['help', 'update', 'fucking', 'profile', 'please']",ACCOUNT,edit_account,response for edit_account
3103,BILQ,"['change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3104,BIL,"['make', 'change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3105,BPLDZ,"['ask', 'agnet', 'could', 'update', 'profile']",ACCOUNT,edit_account,response for edit_account
3106,BILC,"['want', 'make', 'change', 'profile']",ACCOUNT,edit_account,response for edit_account
3107,BILQDZ,"['u', 'ask', 'agent', 'csn', 'make', 'change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3108,BSQZ,"['need', 'help', 'editing', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3109,BSL,"['need', 'help', 'changing', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3110,B,"['help', 'edit', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3111,BSLQ,"['need', 'help', 'updating', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3112,BILQD,"['u', 'ask', 'agent', 'modify', 'profile']",ACCOUNT,edit_account,response for edit_account
3113,BLQ,"['wanna', 'change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3114,BL,"['change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3115,BIPLD,"['please', 'could', 'ask', 'agent', 'modify', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3116,BIL,"['modify', 'profile']",ACCOUNT,edit_account,response for edit_account
3117,BIQZ,"['iedit', 'profile']",ACCOUNT,edit_account,response for edit_account
3118,BLQ,"['wanna', 'update', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3119,BIPLQDZ,"['could', 'u', 'ask', 'agent', 'could', 'update', 'profile', 'pleaes']",ACCOUNT,edit_account,response for edit_account
3120,BLQZ,"['wantr', 'modify', 'profile']",ACCOUNT,edit_account,response for edit_account
3121,BIPLQD,"['please', 'u', 'ask', 'agent', 'change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3122,BSLQ,"['need', 'help', 'making', 'change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3123,BIPDZ,"['ask', 'agent', 'hw', 'could', 'edit', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3124,BIQD,"['u', 'ask', 'agent', 'edit', 'profile']",ACCOUNT,edit_account,response for edit_account
3125,BIQ,"['edit', 'profile']",ACCOUNT,edit_account,response for edit_account
3126,BIPLQW,"['could', 'update', 'fucking', 'profile']",ACCOUNT,edit_account,response for edit_account
3127,BLQD,"['ask', 'agent', 'modify', 'profile']",ACCOUNT,edit_account,response for edit_account
3128,BILZ,"['change', 'profilr']",ACCOUNT,edit_account,response for edit_account
3129,BL,"['want', 'change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3130,BIPLQD,"['u', 'ask', 'agent', 'make', 'change', 'profile', 'please']",ACCOUNT,edit_account,response for edit_account
3131,BILQ,"['modify', 'profile']",ACCOUNT,edit_account,response for edit_account
3132,BIL,"['update', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3133,BIL,"['update', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3134,BLDWZ,"['ask', 'agent', 'make', 'change', 'ot', 'information', 'fucking', 'profile']",ACCOUNT,edit_account,response for edit_account
3135,BLQ,"['wanna', 'make', 'change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3136,BL,"['make', 'change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3137,BIPLD,"['could', 'ask', 'agent', 'update', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3138,BILQ,"['update', 'profile']",ACCOUNT,edit_account,response for edit_account
3139,BLD,"['ask', 'agent', 'update', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3140,BILQ,"['update', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3141,BL,"['want', 'make', 'change', 'profile']",ACCOUNT,edit_account,response for edit_account
3142,BL,"['want', 'change', 'profile']",ACCOUNT,edit_account,response for edit_account
3143,BILQ,"['make', 'change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3144,BILQC,"['want', 'change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3145,BILQC,"['want', 'update', 'profile']",ACCOUNT,edit_account,response for edit_account
3146,BILC,"['want', 'modify', 'profile']",ACCOUNT,edit_account,response for edit_account
3147,BILQD,"['u', 'ask', 'agent', 'change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3148,BIL,"['modify', 'profile']",ACCOUNT,edit_account,response for edit_account
3149,BILQ,"['change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3150,BPD,"['please', 'ask', 'agent', 'edit', 'profile']",ACCOUNT,edit_account,response for edit_account
3151,BLQ,"['wanna', 'update', 'profile']",ACCOUNT,edit_account,response for edit_account
3152,BILQ,"['make', 'change', 'profile']",ACCOUNT,edit_account,response for edit_account
3153,B,"['edit', 'profile']",ACCOUNT,edit_account,response for edit_account
3154,BIQCZ,"['want', 'edit', 'profile', 'iy']",ACCOUNT,edit_account,response for edit_account
3155,BLQ,"['want', 'modify', 'profile']",ACCOUNT,edit_account,response for edit_account
3156,BILQ,"['make', 'change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3157,BIQDZ,"['u', 'asi', 'agent', 'edit', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3158,BL,"['help', 'make', 'change', 'profile']",ACCOUNT,edit_account,response for edit_account
3159,BILQ,"['make', 'change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3160,BSLQ,"['need', 'help', 'modifying', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3161,BSLQ,"['need', 'help', 'making', 'change', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3162,BQDZ,"['ask', 'agent', 'ho', 'edit', 'profile']",ACCOUNT,edit_account,response for edit_account
3163,BIPD,"['ask', 'agent', 'could', 'edit', 'information', 'profile', 'please']",ACCOUNT,edit_account,response for edit_account
3164,BIQ,"['edit', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3165,BLQ,"['want', 'update', 'information', 'profile']",ACCOUNT,edit_account,response for edit_account
3166,BILQD,"['u', 'ask', 'agent', 'update', 'profile']",ACCOUNT,edit_account,response for edit_account
3167,BSLQ,"['need', 'help', 'updating', 'profile']",ACCOUNT,edit_account,response for edit_account
3168,BLQCZ,"['online', 'account', 'hacked', 'want', 'tyo', 'get', 'back']",ACCOUNT,recover_password,response for recover_password
3169,BPLCZ,"['lost', 'password', ""i'd"", 'like', 'retrieve', 'please']",ACCOUNT,recover_password,response for recover_password
3170,BIPLQD,"['could', 'u', 'ask', 'agent', 'reset', 'password']",ACCOUNT,recover_password,response for recover_password
3171,BILQC,"[""account's"", 'hacked']",ACCOUNT,recover_password,response for recover_password
3172,BIPLC,"['someone', 'stole', 'password', 'could', 'retrieve']",ACCOUNT,recover_password,response for recover_password
3173,BLCZ,"['ym', ""profile's"", 'hacked', 'reocver']",ACCOUNT,recover_password,response for recover_password
3174,BIPLDZ,"['could', 'ask', 'agent', 'retrieve', 'password', 'please']",ACCOUNT,recover_password,response for recover_password
3175,BLQC,"['online', 'account', 'hacked', 'want', 'recover']",ACCOUNT,recover_password,response for recover_password
3176,BLC,"['user', 'account', 'hacked', 'get', 'back']",ACCOUNT,recover_password,response for recover_password
3177,BILC,"[""profile's"", 'hacked', 'get', 'back']",ACCOUNT,recover_password,response for recover_password
3178,BILQ,"['retrieve', 'password']",ACCOUNT,recover_password,response for recover_password
3179,BPLQC,"['forgot', 'password', 'retrieve', 'please']",ACCOUNT,recover_password,response for recover_password
3180,BILQD,"['u', 'ask', 'agent', 'reset', 'account', 'password']",ACCOUNT,recover_password,response for recover_password
3181,BILQCZ,"['forgot', 'account', 'pasword', 'reset']",ACCOUNT,recover_password,response for recover_password
3182,BILC,"['user', ""account's"", 'hacked', 'get', 'back']",ACCOUNT,recover_password,response for recover_password
3183,BLC,"['profile', 'hacked', 'recover']",ACCOUNT,recover_password,response for recover_password
3184,BILC,"[""can't"", 'remember', 'password', 'reset']",ACCOUNT,recover_password,response for recover_password
3185,BL,"['recover', 'account', 'password']",ACCOUNT,recover_password,response for recover_password
3186,BILEC,"['profile', 'hacked']",ACCOUNT,recover_password,response for recover_password
3187,BILWC,"['fucking', ""account's"", 'hacked', 'recover']",ACCOUNT,recover_password,response for recover_password
3188,BSLQC,"['user', 'account', 'hacked', 'need', 'help', 'getting', 'back']",ACCOUNT,recover_password,response for recover_password
3189,BILQC,"['forgot', 'account', 'password', 'recover']",ACCOUNT,recover_password,response for recover_password
3190,BSLC,"['user', ""account's"", 'hacked', 'need', 'help', 'getting', 'back']",ACCOUNT,recover_password,response for recover_password
3191,BSLQ,"['need', 'help', 'resetting', 'password']",ACCOUNT,recover_password,response for recover_password
3192,BILCZ,"['want', 'retrieve', 'password']",ACCOUNT,recover_password,response for recover_password
3193,BILC,"['lost', 'account', 'password', 'reset']",ACCOUNT,recover_password,response for recover_password
3194,BLC,"['forgot', 'account', 'password', 'retrieve']",ACCOUNT,recover_password,response for recover_password
3195,BQCZ,"['lost', 'password', 'helpme', 'recover']",ACCOUNT,recover_password,response for recover_password
3196,BILQC,"['lost', 'account', 'password', 'retrieve']",ACCOUNT,recover_password,response for recover_password
3197,BLQC,"['forgot', 'password', 'help', 'reset']",ACCOUNT,recover_password,response for recover_password
3198,BILQC,"['online', ""account's"", 'hacked', 'get', 'back']",ACCOUNT,recover_password,response for recover_password
3199,BILC,"['online', ""account's"", 'hacked']",ACCOUNT,recover_password,response for recover_password
3200,BIC,"['lost', 'password', 'recover']",ACCOUNT,recover_password,response for recover_password
3201,BILCZ,"[""cacount's"", 'hacked']",ACCOUNT,recover_password,response for recover_password
3202,BILQC,"['profile', 'hacked', 'u', 'recover']",ACCOUNT,recover_password,response for recover_password
3203,BIPC,"[""i'd"", 'like', 'recover', 'password']",ACCOUNT,recover_password,response for recover_password
3204,BILQC,"['cant', 'remember', 'account', 'password', 'u', 'help']",ACCOUNT,recover_password,response for recover_password
3205,BILCZ,"['online', ""account's"", 'hacked', 'irecover']",ACCOUNT,recover_password,response for recover_password
3206,BILQC,"[""profile's"", 'hacked']",ACCOUNT,recover_password,response for recover_password
3207,BIL,"['reset', 'account', 'password']",ACCOUNT,recover_password,response for recover_password
3208,BILECZ,"['account', 'hacked', 'get', 'back']",ACCOUNT,recover_password,response for recover_password
3209,BILC,"['want', 'reset', 'password']",ACCOUNT,recover_password,response for recover_password
3210,BSLCZ,"[""profile's"", 'hacked', 'need', 'help', 'recovering']",ACCOUNT,recover_password,response for recover_password
3211,BIPLEQC,"['user', 'account', 'hacked', 'could', 'recover']",ACCOUNT,recover_password,response for recover_password
3212,BILQC,"['cant', 'remember', 'account', 'password', 'reset']",ACCOUNT,recover_password,response for recover_password
3213,BILC,"['lost', 'account', 'password', 'retrieve']",ACCOUNT,recover_password,response for recover_password
3214,BILCZ,"['watn', 'reset', 'account', 'password']",ACCOUNT,recover_password,response for recover_password
3215,BILC,"['someone', 'stole', 'password', 'reset']",ACCOUNT,recover_password,response for recover_password
3216,BIPLQD,"['could', 'u', 'ask', 'agent', 'retrieve', 'password']",ACCOUNT,recover_password,response for recover_password
3217,BILC,"['forgot', 'account', 'password', 'retrieve']",ACCOUNT,recover_password,response for recover_password
3218,BSLC,"[""can't"", 'remember', 'account', 'password', 'need', 'help', 'retrieving']",ACCOUNT,recover_password,response for recover_password
